Geneid	RNA STAR on data 9, data 28, and data 27: mapped.bam
TRNP	708
TRNT	2
CYTB	34644
TRNE	9
ND6	13838
ND5	9174
TRNL2	13
TRNS2	4
TRNH	3
ND4	62128
ND4L	2084
TRNR	2
ND3	26663
TRNG	0
COX3	63910
ATP6	41639
ATP8	1959
TRNK	45
COX2	55112
TRND	0
TRNS1	4
COX1	130261
TRNY	5
TRNC	1216
TRNN	940
TRNA	0
TRNW	3
ND2	37771
TRNM	0
TRNQ	0
TRNI	0
ND1	36727
TRNL1	12
RNR2	75758
TRNV	0
RNR1	15078
TRNF	4
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	2
NCR1	0
FCAR	0
LOC102725023	0
KIR2DS3	0
EPS8L1	155
RDH13	2
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	7
NLRP7	10
LILRP1	0
LOC102724290	0
LILRB4	18
VN1R105P	0
MIR8061	0
LILRB1	4
LILRA1	1
LILRA2	0
LOC105372461	0
LOC107985347	0
KIR3DX1	15
LOC105372460	0
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	0
LENG8-AS1	4
TTYH1	0
LAIR1	69
LILRA4	1
VN1R104P	0
LILRA5	2
LILRA3	0
MIR4752	0
LILRB2	6
LOC100420187	0
LILRB5	5
LOC107987463	0
LILRA6	41
LOC100421130	29
LOC107987462	6
RPS9	41
TSEN34	9
MBOAT7	12
TMC4	50
LENG1	11
LOC102724273	0
CNOT3	13
PRPF31	13
TFPT	17
NDUFA3	0
OSCAR	65
TARM1	2
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	0
HLA-DRA	1241
LOC102725035	0
LOC112268246	0
ZBTB9	0
MIR5004	0
SYNGAP1	2
CUTA	0
PHF1	46
RPL12P1	1
KIFC1	2
SMIM40	0
RPS18	1
VPS52	3
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	86
HLA-DPA1	0
HLA-DOA	28
BRD2	121
HLA-DMA	201
HLA-DMB	24
HLA-Z	0
LOC100294145	2
PPP1R2P1	4
PSMB9	10
TAP1	0
PSMB8-AS1	0
PSMB8	1
TAP2	3
HLA-DOB	1
HLA-DQB2	3
MIR3135B	0
HLA-DQA2	3
LOC102725019	0
HLA-DQB1	3975
HLA-DQA1	1429
LOC107987459	0
HLA-DRB1	7976
FAM8A5P	0
HLA-DRB7	6
LOC100294316	0
PRKRAP1	4
HLA-DRB8	0
HLA-DRB4	769
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	0
TSBP1	0
NOTCH4	9
GPSM3	0
PBX2	32
AGER	308
MIR6833	0
RNF5	9
MIR6721	0
AGPAT1	26
EGFL8	0
PPT2-EGFL8	0
PPT2	0
LOC100507547	2
PRRT1	0
TNXB	1
CYP21A2	0
C4B	8
STK19B	0
TNXA	1
CYP21A1P	0
C4B_2	0
STK19	1
DXO	6
SKIV2L	4
MIR1236	0
NELFE	6
CFB	6
C2-AS1	0
C2	56
LOC107986588	0
EHMT2	0
SLC44A4	2
NEU1	2
VARS1	0
VWA7	1
SAPCD1-AS1	0
SAPCD1	0
RNU6-850P	0
MSH5	0
MSH5-SAPCD1	0
LOC105375020	2
CLIC1	1
DDAH2	0
MPIG6B	2
LY6G6C	0
LY6G6D	0
LY6G6E	0
LY6G6F	0
LY6G6F-LY6G6D	0
MIR4646	0
LOC105375018	0
ABHD16A	0
LOC105375019	0
LY6G5C	4
LY6G5B	23
CSNK2B	53
GPANK1	0
C6orf47	0
APOM	0
BAG6	6
MIR6832	0
SNORA38	12
PRRC2A	22
AIF1	4
UQCRHP1	0
NCR3	0
LST1	0
LTB	0
TNF	0
LTA	0
LOC100287329	0
NFKBIL1	17
ATP6V1G2	0
DDX39B-AS1	0
SNORD84	0
SNORD117	0
DDX39B	0
ATP6V1G2-DDX39B	0
MCCD1	0
RPL15P4	1
PPIAP9	0
MICB	8
MICB-DT	1
HCG26	8
HCP5	0
HLA-X	0
LINC01149	1
MICA	124
MICA-AS1	11
LOC105379664	0
MIR6891	0
HLA-B	6012
LINC02571	0
RPL3P2	58
USP8P1	0
HLA-C	6959
HCG27	6
PSORS1C3	2
POU5F1	19
TCF19	2
RNU6-1133P	0
HCG22	1
MUC22	0
LINC00243	1
HCG20	0
RN7SL353P	0
IER3	2
IER3-AS1	0
FLOT1	19
TUBB	16
MDC1-AS1	0
MDC1	0
LOC107987457	0
DHX16	1
C6orf136	0
PTMAP1	4
ATAT1	0
MRPS18B	5
PPP1R10	1
MIR877	0
ABCF1	0
ABCF1-DT	0
PRR3	0
GNL1	0
LINC02569	0
HLA-E	0
RANP1	0
SUCLA2P1	0
LOC105375012	1
MICC	3
UBQLN1P1	0
HLA-N	2
RPP21	0
TRIM39-RPP21	0
TRIM39	0
HCG18	32
HLA-L	0
HCG17	0
PAIP1P1	0
TRIM26	5
TRIM15	0
TRIM10	0
TRIM40	1
TRIM31-AS1	0
TRIM31	0
RNF39	1
PPP1R11	18
POLR1H	2
ETF1P1	0
HLA-J	2
HCG4P3	0
ZNRD1ASP	0
LOC353007	0
MCCD1P2	0
DDX39BP2	0
HCG9	2
HLA-A	1739
HLA-K	70
HCG4B	0
DDX39BP1	0
HLA-H	9
HCP5B	0
LOC105375010	0
HCGVIII-2	0
HLA-G	0
MICG	0
RPL7AP7	0
HLA-P	0
HCG4P9	0
HLA-V	0
HCG4	1
LOC353010	0
LOC105379663	0
IFITM4P	0
MICE	1
HLA-F-AS1	2
HLA-F	5
ZDHHC20P1	0
ZFP57	4
MOG	11
SUMO2P1	3
GABBR1	3
OR2I1P	0
GPR53P	0
LINC01015	0
LINC02829	0
RPS17P1	0
MAS1L	0
LOC105375008	0
MAS1LP1	0
UBDP1	0
OR2H1	1
LOC105379641	0
OR10C1	0
OR11A1	1
OR12D1	4
OR12D2	0
OR12D3	0
OR5V1	0
DDX6P1	0
OR14J1	0
OR2B4P	0
LOC105375005	0
OR2U2P	0
OR2U1P	0
OR2G1P	0
LOC101929006	0
OR2H4P	0
OR2J4P	0
OR2J2	0
OR2N1P	0
OR2J3	5
OR2J1	0
OR2B3	0
SAR1AP1	1
OR2P1P	0
OR2W1	0
LOC100129636	0
OR2AD1P	0
LOC105375002	0
ZNF311	8
TRL-AAG3-1	0
HCG15	4
TRE-CTC1-6	0
TRF-GAA1-2	0
RN7SL471P	0
KRT18P1	0
TRM-CAT3-2	0
TRK-TTT3-3	0
TRM-CAT3-1	0
LINC01556	0
TRL-AAG2-2	3
TRQ-CTG1-3	0
TRL-CAA1-2	0
RNU6-930P	0
TRIM27	1
HCG14	0
TRL-CAA1-1	0
ZNF90P2	0
TRR-CCG1-2	0
TRA-AGC2-2	0
RPL13P	0
LINC01623	0
TRA-AGC2-1	0
TRF-GAA4-1	0
TRA-TGC5-1	0
TRF-GAA3-1	10
TRA-TGC7-1	0
TRA-AGC1-1	0
TRF-GAA1-1	9
TRA-TGC1-1	0
NOP56P1	0
TRA-AGC23-1	0
TRA-TGC6-1	0
TRK-TTT7-1	0
TRR-CCG1-1	0
RPSAP2	3
TRA-CGC4-1	0
TRF-GAA11-1	0
TRT-AGT3-1	0
TRA-AGC7-1	0
TRA-CGC5-1	0
TRK-TTT13-1	0
LOC100288016	0
LOC105374297	0
LOC105374298	0
SDHAP2	0
MIR570	0
