Geneid	RNA STAR on data 13, data 28, and data 27: mapped.bam
TRNP	970
TRNT	1
CYTB	53819
TRNE	20
ND6	17805
ND5	22728
TRNL2	16
TRNS2	9
TRNH	0
ND4	119143
ND4L	6945
TRNR	1
ND3	34668
TRNG	0
COX3	99129
ATP6	72611
ATP8	6123
TRNK	55
COX2	82336
TRND	2
TRNS1	0
COX1	203911
TRNY	13
TRNC	709
TRNN	659
TRNA	0
TRNW	0
ND2	59552
TRNM	2
TRNQ	0
TRNI	0
ND1	74691
TRNL1	19
RNR2	245739
TRNV	1
RNR1	110250
TRNF	5
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	1
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	1
NCR1	1
FCAR	0
LOC102725023	0
KIR2DS3	0
EPS8L1	157
RDH13	0
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	3
NLRP7	3
LILRP1	0
LOC102724290	0
LILRB4	14
VN1R105P	0
MIR8061	0
LILRB1	9
LILRA1	0
LILRA2	1
LOC105372461	0
LOC107985347	0
KIR3DX1	6
LOC105372460	0
LAIR2	1
CDC42EP5	0
LENG9	0
LENG8	1
LENG8-AS1	1
TTYH1	0
LAIR1	51
LILRA4	3
VN1R104P	0
LILRA5	2
LILRA3	0
MIR4752	2
LILRB2	4
LOC100420187	0
LILRB5	1
LOC107987463	0
LILRA6	8
LOC100421130	35
LOC107987462	0
RPS9	74
TSEN34	0
MBOAT7	7
TMC4	3
LENG1	0
LOC102724273	0
CNOT3	31
PRPF31	6
TFPT	10
NDUFA3	0
OSCAR	21
TARM1	0
VSTM1	1
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	0
HLA-DRA	3286
LOC102725035	20
LOC112268246	0
ZBTB9	4
MIR5004	0
SYNGAP1	2
CUTA	1
PHF1	53
RPL12P1	0
KIFC1	4
SMIM40	0
RPS18	0
VPS52	1
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	117
HLA-DPA1	6
HLA-DOA	221
BRD2	102
HLA-DMA	388
HLA-DMB	142
HLA-Z	0
LOC100294145	0
PPP1R2P1	8
PSMB9	2
TAP1	33
PSMB8-AS1	0
PSMB8	133
TAP2	145
HLA-DOB	17
HLA-DQB2	30
MIR3135B	0
HLA-DQA2	13
LOC102725019	0
HLA-DQB1	10416
HLA-DQA1	3717
LOC107987459	0
HLA-DRB1	14326
FAM8A5P	0
HLA-DRB7	0
LOC100294316	0
PRKRAP1	12
HLA-DRB8	0
HLA-DRB4	59
HLA-DRB9	0
RNU6-603P	0
HNRNPA1P2	0
TSBP1	0
NOTCH4	21
GPSM3	2
PBX2	32
AGER	200
MIR6833	0
RNF5	13
MIR6721	0
AGPAT1	31
EGFL8	0
PPT2-EGFL8	0
