Geneid	RNA STAR on data 13, data 25, and data 24: mapped.bam
TRNP	731
TRNT	5
CYTB	33456
TRNE	13
ND6	16331
ND5	26974
TRNL2	15
TRNS2	6
TRNH	3
ND4	80180
ND4L	7859
TRNR	4
ND3	17495
TRNG	1
COX3	55508
ATP6	25617
ATP8	4158
TRNK	24
COX2	42540
TRND	0
TRNS1	0
COX1	130061
TRNY	31
TRNC	525
TRNN	357
TRNA	1
TRNW	1
ND2	32881
TRNM	0
TRNQ	0
TRNI	0
ND1	41959
TRNL1	26
RNR2	110880
TRNV	4
RNR1	15936
TRNF	2
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	0
NCR1	0
FCAR	3
LOC102725023	0
KIR2DS3	0
EPS8L1	193
RDH13	2
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	2
NLRP7	8
LILRP1	0
LOC102724290	0
LILRB4	5
VN1R105P	0
MIR8061	0
LILRB1	2
LILRA1	0
LILRA2	3
LOC105372461	0
LOC107985347	0
KIR3DX1	28
LOC105372460	1
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	2
LENG8-AS1	2
TTYH1	0
LAIR1	24
LILRA4	0
VN1R104P	0
LILRA5	4
LILRA3	0
MIR4752	0
LILRB2	1
LOC100420187	0
LILRB5	4
LOC107987463	0
LILRA6	2
LOC100421130	17
LOC107987462	0
RPS9	47
TSEN34	2
MBOAT7	8
TMC4	26
LENG1	0
LOC102724273	0
CNOT3	35
PRPF31	4
TFPT	6
NDUFA3	0
OSCAR	18
TARM1	1
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	0
HLA-DRA	1716
LOC102725035	5
LOC112268246	0
ZBTB9	3
MIR5004	0
SYNGAP1	2
CUTA	0
PHF1	54
RPL12P1	1
KIFC1	2
SMIM40	0
RPS18	1
VPS52	4
HCG25	0
LOC105375022	0
ZNF70P1	0
COL11A2	0
HLA-DPB2	0
COL11A2P1	0
HLA-DPA2	0
RPL32P1	0
HLA-DPB1	108
HLA-DPA1	4
HLA-DOA	55
BRD2	42
