Geneid	RNA STAR on data 38, data 33, and data 32: mapped.bam
TRNP	590
TRNT	3
CYTB	26816
TRNE	3
ND6	9999
ND5	8302
TRNL2	19
TRNS2	6
TRNH	9
ND4	60046
ND4L	1233
TRNR	4
ND3	12245
TRNG	3
COX3	42566
ATP6	44302
ATP8	2772
TRNK	34
COX2	87383
TRND	0
TRNS1	1
COX1	67123
TRNY	3
TRNC	691
TRNN	588
TRNA	1
TRNW	1
ND2	37772
TRNM	0
TRNQ	0
TRNI	1
ND1	21593
TRNL1	8
RNR2	78698
TRNV	0
RNR1	10855
TRNF	7
LILRP2	0
KIR3DL3	0
KIR2DS2	0
KIR2DL2	0
KIR2DL4	0
KIR3DS1	0
KIR2DL5A	0
KIR2DS5	0
KIR2DS1	0
KIR3DL2	0
KIR2DL3	0
KIR2DP1	0
LOC101928804	0
KIR2DL1	0
KIR3DP1	0
KIR3DL1	0
KIR2DS4	0
KIR2DL5B	0
RNU6-222P	0
NCR1	0
FCAR	0
LOC102725023	0
KIR2DS3	0
EPS8L1	650
RDH13	3
GP6	0
GP6-AS1	0
RPL36AP50	0
NLRP2	6
NLRP7	6
LILRP1	0
LOC102724290	0
LILRB4	25
VN1R105P	0
MIR8061	0
LILRB1	8
LILRA1	0
LILRA2	1
LOC105372461	0
LOC107985347	0
KIR3DX1	2
LOC105372460	0
LAIR2	0
CDC42EP5	0
LENG9	0
LENG8	4
LENG8-AS1	17
TTYH1	0
LAIR1	6
LILRA4	0
VN1R104P	0
LILRA5	0
LILRA3	0
MIR4752	0
LILRB2	23
LOC100420187	0
LILRB5	0
LOC107987463	0
LILRA6	32
LOC100421130	3
LOC107987462	6
RPS9	63
TSEN34	1
MBOAT7	33
TMC4	84
LENG1	3
LOC102724273	1
CNOT3	50
PRPF31	28
TFPT	29
NDUFA3	0
OSCAR	23
TARM1	0
VSTM1	0
LOC107987461	0
HCG23	0
BTNL2	0
TSBP1-AS1	0
HLA-DRA	398
LOC102725035	0
